utt_id,path,label,speaker_id,source_id,content_type,environment
6k_SBA_100_1-seg_576_740-578_880,SADA_NAJ/6k_SBA_100_1-seg_576_740-578_880.wav,SADA_NAJ,batch_1/6k_SBA_100_1.wav:Speaker4متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_100_3-seg_218_810-221_450,SADA_NAJ/6k_SBA_100_3-seg_218_810-221_450.wav,SADA_NAJ,batch_1/6k_SBA_100_3.wav:Speaker3متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_101_0-seg_319_050-321_690,SADA_HIJ/6k_SBA_101_0-seg_319_050-321_690.wav,SADA_HIJ,batch_1/6k_SBA_101_0.wav:Speaker2متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_101_0-seg_289_000-294_710,SADA_KHA/6k_SBA_101_0-seg_289_000-294_710.wav,SADA_KHA,batch_1/6k_SBA_101_0.wav:Speaker1متحدث,SHOW_07,درامي,Noisy -- ضوضاء
6k_SBA_101_1-seg_14_390-18_720,SADA_HIJ/6k_SBA_101_1-seg_14_390-18_720.wav,SADA_HIJ,batch_1/6k_SBA_101_1.wav:Speaker1متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_101_2-seg_164_080-170_890,SADA_HIJ/6k_SBA_101_2-seg_164_080-170_890.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker4متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_101_2-seg_218_000-221_130,SADA_HIJ/6k_SBA_101_2-seg_218_000-221_130.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker3متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_101_2-seg_196_540-198_800,SADA_HIJ/6k_SBA_101_2-seg_196_540-198_800.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker3متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_101_2-seg_226_520-229_590,SADA_HIJ/6k_SBA_101_2-seg_226_520-229_590.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker5متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_102_2-seg_467_840-473_440,SADA_HIJ/6k_SBA_102_2-seg_467_840-473_440.wav,SADA_HIJ,batch_1/6k_SBA_102_2.wav:Speaker3متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_102_2-seg_315_390-318_190,SADA_HIJ/6k_SBA_102_2-seg_315_390-318_190.wav,SADA_HIJ,batch_1/6k_SBA_102_2.wav:Speaker4متحدث,SHOW_07,درامي,Noisy -- ضوضاء
6k_SBA_102_2-seg_227_960-231_370,SADA_HIJ/6k_SBA_102_2-seg_227_960-231_370.wav,SADA_HIJ,batch_1/6k_SBA_102_2.wav:Speaker3متحدث,SHOW_07,درامي,Noisy -- ضوضاء
6k_SBA_103_0-seg_247_170-249_420,SADA_KHA/6k_SBA_103_0-seg_247_170-249_420.wav,SADA_KHA,batch_1/6k_SBA_103_0.wav:Speaker1متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_103_0-seg_578_950-590_480,SADA_KHA/6k_SBA_103_0-seg_578_950-590_480.wav,SADA_KHA,batch_1/6k_SBA_103_0.wav:Speaker5متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_103_0-seg_499_650-502_576,SADA_KHA/6k_SBA_103_0-seg_499_650-502_576.wav,SADA_KHA,batch_1/6k_SBA_103_0.wav:Speaker6متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_104_2-seg_16_540-18_940,SADA_KHA/6k_SBA_104_2-seg_16_540-18_940.wav,SADA_KHA,batch_1/6k_SBA_104_2.wav:Speaker1متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_104_2-seg_0_100-2_970,SADA_KHA/6k_SBA_104_2-seg_0_100-2_970.wav,SADA_KHA,batch_1/6k_SBA_104_2.wav:Speaker1متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_105_3-seg_45_710-50_990,SADA_NAJ/6k_SBA_105_3-seg_45_710-50_990.wav,SADA_NAJ,batch_1/6k_SBA_105_3.wav:Speaker2متحدث,SHOW_07,درامي,Clean -- نظيف
6k_SBA_107_0-seg_171_800-179_950,SADA_KHA/6k_SBA_107_0-seg_171_800-179_950.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_0-seg_419_490-421_640,SADA_KHA/6k_SBA_107_0-seg_419_490-421_640.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_0-seg_311_140-313_600,SADA_KHA/6k_SBA_107_0-seg_311_140-313_600.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_0-seg_332_990-335_840,SADA_KHA/6k_SBA_107_0-seg_332_990-335_840.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_0-seg_543_492-547_191,SADA_KHA/6k_SBA_107_0-seg_543_492-547_191.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker4متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_0-seg_514_170-518_430,SADA_KHA/6k_SBA_107_0-seg_514_170-518_430.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker4متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_0-seg_488_306-492_706,SADA_KHA/6k_SBA_107_0-seg_488_306-492_706.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker4متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_0-seg_484_470-488_100,SADA_KHA/6k_SBA_107_0-seg_484_470-488_100.wav,SADA_KHA,batch_1/6k_SBA_107_0.wav:Speaker3متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_1-seg_59_070-62_220,SADA_KHA/6k_SBA_107_1-seg_59_070-62_220.wav,SADA_KHA,batch_1/6k_SBA_107_1.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_1-seg_267_240-269_250,SADA_KHA/6k_SBA_107_1-seg_267_240-269_250.wav,SADA_KHA,batch_1/6k_SBA_107_1.wav:Speaker4متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_1-seg_447_850-452_070,SADA_KHA/6k_SBA_107_1-seg_447_850-452_070.wav,SADA_KHA,batch_1/6k_SBA_107_1.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_1-seg_517_780-520_450,SADA_KHA/6k_SBA_107_1-seg_517_780-520_450.wav,SADA_KHA,batch_1/6k_SBA_107_1.wav:Speaker4متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_1-seg_99_110-102_580,SADA_KHA/6k_SBA_107_1-seg_99_110-102_580.wav,SADA_KHA,batch_1/6k_SBA_107_1.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
6k_SBA_107_1-seg_352_390-359_630,SADA_KHA/6k_SBA_107_1-seg_352_390-359_630.wav,SADA_KHA,batch_1/6k_SBA_107_1.wav:Speaker2متحدث,SHOW_09,مسابقات,Clean -- نظيف
