utt_id,path,label,speaker_id,source_id,content_type
YEM_AD_F001_001,YEM_AD/YEM_AD_F001/YEM_AD_F001_001.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_002,YEM_AD/YEM_AD_F001/YEM_AD_F001_002.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_003,YEM_AD/YEM_AD_F001/YEM_AD_F001_003.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_004,YEM_AD/YEM_AD_F001/YEM_AD_F001_004.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_005,YEM_AD/YEM_AD_F001/YEM_AD_F001_005.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_006,YEM_AD/YEM_AD_F001/YEM_AD_F001_006.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_007,YEM_AD/YEM_AD_F001/YEM_AD_F001_007.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_008,YEM_AD/YEM_AD_F001/YEM_AD_F001_008.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_009,YEM_AD/YEM_AD_F001/YEM_AD_F001_009.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_010,YEM_AD/YEM_AD_F001/YEM_AD_F001_010.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_011,YEM_AD/YEM_AD_F001/YEM_AD_F001_011.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_012,YEM_AD/YEM_AD_F001/YEM_AD_F001_012.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_013,YEM_AD/YEM_AD_F001/YEM_AD_F001_013.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_014,YEM_AD/YEM_AD_F001/YEM_AD_F001_014.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_015,YEM_AD/YEM_AD_F001/YEM_AD_F001_015.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_016,YEM_AD/YEM_AD_F001/YEM_AD_F001_016.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_017,YEM_AD/YEM_AD_F001/YEM_AD_F001_017.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_018,YEM_AD/YEM_AD_F001/YEM_AD_F001_018.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_019,YEM_AD/YEM_AD_F001/YEM_AD_F001_019.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_020,YEM_AD/YEM_AD_F001/YEM_AD_F001_020.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_021,YEM_AD/YEM_AD_F001/YEM_AD_F001_021.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_022,YEM_AD/YEM_AD_F001/YEM_AD_F001_022.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_023,YEM_AD/YEM_AD_F001/YEM_AD_F001_023.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_024,YEM_AD/YEM_AD_F001/YEM_AD_F001_024.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_025,YEM_AD/YEM_AD_F001/YEM_AD_F001_025.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_026,YEM_AD/YEM_AD_F001/YEM_AD_F001_026.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_027,YEM_AD/YEM_AD_F001/YEM_AD_F001_027.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_028,YEM_AD/YEM_AD_F001/YEM_AD_F001_028.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_029,YEM_AD/YEM_AD_F001/YEM_AD_F001_029.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
YEM_AD_F001_030,YEM_AD/YEM_AD_F001/YEM_AD_F001_030.wav,YEM_AD,YEM_AD_F001,AD_alhakbah,series
