utt_id,path,label,speaker_id,source_id,content_type,environment
1021786_cbbd1c59,Audio/1021786/phase1/1021786_cbbd1c59.wav,Beijing,1021786,Langfang,read,unknown
1000095_e2ab3263,Audio/1000095/phase1/1000095_e2ab3263.wav,Beijing,1000095,Langfang,read,unknown
1013085_624b7f35,Audio/1013085/phase1/1013085_624b7f35.wav,Beijing,1013085,Langfang,read,unknown
1001314_0ace00d7,Audio/1001314/phase1/1001314_0ace00d7.wav,Beijing,1001314,Langfang,read,unknown
1009699_f8655802,Audio/1009699/phase1/1009699_f8655802.wav,Beijing,1009699,Langfang,read,unknown
1000095_145973c1,Audio/1000095/phase1/1000095_145973c1.wav,Beijing,1000095,Langfang,read,unknown
1002693_200f3b69,Audio/1002693/phase1/1002693_200f3b69.wav,Beijing,1002693,Langfang,read,unknown
1012502_95868339,Audio/1012502/phase1/1012502_95868339.wav,Beijing,1012502,Langfang,read,unknown
1022330_05d277b5,Audio/1022330/phase1/1022330_05d277b5.wav,Beijing,1022330,Langfang,read,unknown
1009777_72503b7c,Audio/1009777/phase1/1009777_72503b7c.wav,Beijing,1009777,Langfang,read,unknown
1010180_a9be16ba,Audio/1010180/phase1/1010180_a9be16ba.wav,Beijing,1010180,Langfang,read,unknown
1001339_f70ece2e,Audio/1001339/phase1/1001339_f70ece2e.wav,Beijing,1001339,Langfang,read,unknown
1023855_f2aea91d,Audio/1023855/phase1/1023855_f2aea91d.wav,Beijing,1023855,Langfang,read,unknown
1001177_27ccdca4,Audio/1001177/phase1/1001177_27ccdca4.wav,Beijing,1001177,Langfang,read,unknown
1016314_172a74eb,Audio/1016314/phase1/1016314_172a74eb.wav,Beijing,1016314,Langfang,read,unknown
1009197_16f2d0a7,Audio/1009197/phase1/1009197_16f2d0a7.wav,Beijing,1009197,Langfang,read,unknown
1020128_b87b53ed,Audio/1020128/phase1/1020128_b87b53ed.wav,Beijing,1020128,Langfang,read,unknown
1023350_08352ae9,Audio/1023350/phase1/1023350_08352ae9.wav,Beijing,1023350,Langfang,read,unknown
1009777_467a58a3,Audio/1009777/phase1/1009777_467a58a3.wav,Beijing,1009777,Langfang,read,unknown
1011700_4cac40e0,Audio/1011700/phase1/1011700_4cac40e0.wav,Beijing,1011700,Langfang,read,unknown
1010180_2cba48ee,Audio/1010180/phase1/1010180_2cba48ee.wav,Beijing,1010180,Langfang,read,unknown
1002315_de36e01e,Audio/1002315/phase1/1002315_de36e01e.wav,Beijing,1002315,Langfang,read,unknown
1004394_596ba048,Audio/1004394/phase1/1004394_596ba048.wav,Beijing,1004394,Langfang,read,unknown
1005971_a48b31f7,Audio/1005971/phase1/1005971_a48b31f7.wav,Beijing,1005971,Langfang,read,unknown
1020547_dfe215d8,Audio/1020547/phase1/1020547_dfe215d8.wav,Beijing,1020547,Langfang,read,unknown
1000809_b8410e6e,Audio/1000809/phase1/1000809_b8410e6e.wav,Beijing,1000809,Langfang,read,unknown
1010180_7941d454,Audio/1010180/phase1/1010180_7941d454.wav,Beijing,1010180,Langfang,read,unknown
1023203_0d6197d5,Audio/1023203/phase1/1023203_0d6197d5.wav,Beijing,1023203,Langfang,read,unknown
1028714_702699a9,Audio/1028714/phase1/1028714_702699a9.wav,Beijing,1028714,Langfang,read,unknown
1016649_3500f28d,Audio/1016649/phase1/1016649_3500f28d.wav,Beijing,1016649,Langfang,read,unknown
1001339_9fec78e4,Audio/1001339/phase1/1001339_9fec78e4.wav,Beijing,1001339,Langfang,read,unknown
1008031_309867e6,Audio/1008031/phase1/1008031_309867e6.wav,Beijing,1008031,Langfang,read,unknown
1000809_e022b5cf,Audio/1000809/phase1/1000809_e022b5cf.wav,Beijing,1000809,Langfang,read,unknown
1018781_e34c453e,Audio/1018781/phase1/1018781_e34c453e.wav,Beijing,1018781,Langfang,read,unknown
1001352_d4ac009c,Audio/1001352/phase1/1001352_d4ac009c.wav,Beijing,1001352,Langfang,read,unknown
1002693_613844d0,Audio/1002693/phase1/1002693_613844d0.wav,Beijing,1002693,Langfang,read,unknown
1024023_ee41e8c7,Audio/1024023/phase1/1024023_ee41e8c7.wav,Beijing,1024023,Langfang,read,unknown
1019765_0bed25a4,Audio/1019765/phase1/1019765_0bed25a4.wav,Beijing,1019765,Langfang,read,unknown
1011436_6f3bc36a,Audio/1011436/phase1/1011436_6f3bc36a.wav,Beijing,1011436,Langfang,read,unknown
1009197_f7a58d67,Audio/1009197/phase1/1009197_f7a58d67.wav,Beijing,1009197,Langfang,read,unknown
1007195_b2da6243,Audio/1007195/phase1/1007195_b2da6243.wav,Beijing,1007195,Langfang,read,unknown
